year;state;month;number;date
2000;KARTAL;MART;0;1.01.2000
2001;KARTAL;MART;0;1.01.2001
2002;KARTAL;MART;0;1.01.2002
2003;KARTAL;MART;0;1.01.2003
2004;KARTAL;MART;0;1.01.2004
2005;KARTAL;MART;0;1.01.2005
2006;KARTAL;MART;0;1.01.2006
2009;KARTAL;MART;0;1.01.2009
2010;KARTAL;MART;0;1.01.2010
2011;KARTAL;MART;0;1.01.2011
2012;KARTAL;MART;0;1.01.2012
2015;KARTAL;MART;0;1.01.2015
2017;KARTAL;MART;0;1.01.2017
1998;KARTAL;NISAN;0;1.01.1998
1999;KARTAL;NISAN;0;1.01.1999
2000;KARTAL;NISAN;0;1.01.2000
2001;KARTAL;NISAN;0;1.01.2001
2003;KARTAL;NISAN;0;1.01.2003
2005;KARTAL;NISAN;0;1.01.2005
2006;KARTAL;NISAN;0;1.01.2006
2007;KARTAL;NISAN;0;1.01.2007
2009;KARTAL;NISAN;0;1.01.2009
2015;KARTAL;NISAN;0;1.01.2015
1998;KARTAL;MAYIS;0;1.01.1998
1999;KARTAL;MAYIS;0;1.01.1999
2001;KARTAL;MAYIS;0;1.01.2001
2003;KARTAL;MAYIS;0;1.01.2003
2012;KARTAL;MAYIS;0;1.01.2012
2008;KARTAL;HAZIRAN;0;1.01.2008
2001;KARTAL;EKIM;0;1.01.2001
2011;KARTAL;EKIM;0;1.01.2011
1998;KARTAL;KASIM;0;1.01.1998
2000;KARTAL;KASIM;0;1.01.2000
2001;KARTAL;KASIM;0;1.01.2001
2003;KARTAL;KASIM;0;1.01.2003
2004;KARTAL;KASIM;0;1.01.2004
2006;KARTAL;KASIM;0;1.01.2006
2007;KARTAL;KASIM;0;1.01.2007
2009;KARTAL;KASIM;0;1.01.2009
2010;KARTAL;KASIM;0;1.01.2010
2012;KARTAL;KASIM;0;1.01.2012
2013;KARTAL;KASIM;0;1.01.2013
2014;KARTAL;KASIM;0;1.01.2014
2017;KARTAL;KASIM;0;1.01.2017
1998;KARTAL;ARALIK;0;1.01.1998
1999;KARTAL;ARALIK;0;1.01.1999
2000;KARTAL;ARALIK;0;1.01.2000
2003;KARTAL;ARALIK;0;1.01.2003
2004;KARTAL;ARALIK;0;1.01.2004
2005;KARTAL;ARALIK;0;1.01.2005
2006;KARTAL;ARALIK;0;1.01.2006
2007;KARTAL;ARALIK;0;1.01.2007
2008;KARTAL;ARALIK;0;1.01.2008
2009;KARTAL;ARALIK;0;1.01.2009
2011;KARTAL;ARALIK;0;1.01.2011
2012;KARTAL;ARALIK;0;1.01.2012
2014;KARTAL;ARALIK;0;1.01.2014
2015;KARTAL;ARALIK;0;1.01.2015
2016;KARTAL;ARALIK;0;1.01.2016
1998;MALTEPE;OCAK;0;1.01.1998
2007;MALTEPE;OCAK;0;1.01.2007
1998;MALTEPE;SUBAT;0;1.01.1998
1998;MALTEPE;MART;0;1.01.1998
1998;MALTEPE;NISAN;0;1.01.1998
2004;MALTEPE;NISAN;0;1.01.2004
1998;MALTEPE;MAYIS;0;1.01.1998
2004;MALTEPE;MAYIS;0;1.01.2004
2006;MALTEPE;MAYIS;0;1.01.2006
2005;MALTEPE;KASIM;0;1.01.2005
2006;MALTEPE;KASIM;0;1.01.2006
1999;MALTEPE;ARALIK;0;1.01.1999
2006;MALTEPE;ARALIK;0;1.01.2006
1998;SARIYER;OCAK;0;1.01.1998
1998;SARIYER;SUBAT;0;1.01.1998
1998;SARIYER;MART;0;1.01.1998
1998;SARIYER;NISAN;0;1.01.1998
1998;SARIYER;MAYIS;0;1.01.1998
1998;ÜSKÜDAR;OCAK;0;1.01.1998
1998;ÜSKÜDAR;SUBAT;0;1.01.1998
1998;ÜSKÜDAR;MART;0;1.01.1998
2001;ÜSKÜDAR;MART;0;1.01.2001
1998;ÜSKÜDAR;NISAN;0;1.01.1998
1998;ÜSKÜDAR;MAYIS;0;1.01.1998
1998;FATIH;OCAK;0;1.01.1998
1998;FATIH;SUBAT;0;1.01.1998
1998;FATIH;MART;0;1.01.1998
1998;FATIH;NISAN;0;1.01.1998
1998;FATIH;MAYIS;0;1.01.1998
1998;FATIH;OCAK;0;1.01.1998
1998;FATIH;SUBAT;0;1.01.1998
1998;FATIH;MART;0;1.01.1998
1998;FATIH;NISAN;0;1.01.1998
1998;FATIH;MAYIS;0;1.01.1998
1998;BEYKOZ;OCAK;0;1.01.1998
1998;BEYKOZ;SUBAT;0;1.01.1998
1998;BEYKOZ;MART;0;1.01.1998
1998;BEYKOZ;NISAN;0;1.01.1998
1998;BEYKOZ;MAYIS;0;1.01.1998
1998;ÇATALCA;OCAK;0;1.01.1998
1998;ÇATALCA;SUBAT;0;1.01.1998
1998;ÇATALCA;MART;0;1.01.1998
2001;ÇATALCA;MART;0;1.01.2001
1998;ÇATALCA;NISAN;0;1.01.1998
2001;ÇATALCA;NISAN;0;1.01.2001
2007;ÇATALCA;NISAN;0;1.01.2007
1998;ÇATALCA;MAYIS;0;1.01.1998
2006;ÇATALCA;MAYIS;0;1.01.2006
2008;ÇATALCA;MAYIS;0;1.01.2008
1998;PENDIK;OCAK;0;1.01.1998
2000;PENDIK;OCAK;0;1.01.2000
1998;PENDIK;SUBAT;0;1.01.1998
1998;PENDIK;MART;0;1.01.1998
2001;PENDIK;MART;0;1.01.2001
2003;PENDIK;MART;0;1.01.2003
1998;PENDIK;NISAN;0;1.01.1998
2001;PENDIK;NISAN;0;1.01.2001
2003;PENDIK;NISAN;0;1.01.2003
2006;PENDIK;NISAN;0;1.01.2006
2007;PENDIK;NISAN;0;1.01.2007
2008;PENDIK;NISAN;0;1.01.2008
1998;PENDIK;MAYIS;0;1.01.1998
1999;PENDIK;MAYIS;0;1.01.1999
2000;PENDIK;MAYIS;0;1.01.2000
2003;PENDIK;MAYIS;0;1.01.2003
2005;PENDIK;MAYIS;0;1.01.2005
2006;PENDIK;MAYIS;0;1.01.2006
2007;PENDIK;MAYIS;0;1.01.2007
2008;PENDIK;MAYIS;0;1.01.2008
2009;PENDIK;MAYIS;0;1.01.2009
2011;PENDIK;MAYIS;0;1.01.2011
2001;PENDIK;HAZIRAN;0;1.01.2001
2003;PENDIK;HAZIRAN;0;1.01.2003
2004;PENDIK;HAZIRAN;0;1.01.2004
2005;PENDIK;HAZIRAN;0;1.01.2005
2006;PENDIK;HAZIRAN;0;1.01.2006
2007;PENDIK;HAZIRAN;0;1.01.2007
2008;PENDIK;HAZIRAN;0;1.01.2008
2009;PENDIK;HAZIRAN;0;1.01.2009
2015;PENDIK;HAZIRAN;0;1.01.2015
2017;PENDIK;HAZIRAN;0;1.01.2017
1998;PENDIK;TEMMUZ;0;1.01.1998
2000;PENDIK;TEMMUZ;0;1.01.2000
2005;PENDIK;TEMMUZ;0;1.01.2005
2008;PENDIK;TEMMUZ;0;1.01.2008
2005;PENDIK;AGUSTOS;0;1.01.2005
1998;PENDIK;OCAK;0;1.01.1998
1998;PENDIK;SUBAT;0;1.01.1998
1998;PENDIK;MART;0;1.01.1998
1998;PENDIK;NISAN;0;1.01.1998
1998;PENDIK;MAYIS;0;1.01.1998
1998;SISLI;OCAK;0;1.01.1998
1998;SISLI;SUBAT;0;1.01.1998
1998;SISLI;MART;0;1.01.1998
2001;SISLI;MART;0;1.01.2001
1998;SISLI;NISAN;0;1.01.1998
1998;SISLI;MAYIS;0;1.01.1998
2007;SISLI;MAYIS;0;1.01.2007
2008;SISLI;MAYIS;0;1.01.2008
2009;SISLI;MAYIS;0;1.01.2009
2006;SISLI;HAZIRAN;0;1.01.2006
2008;SISLI;HAZIRAN;0;1.01.2008
2000;SISLI;TEMMUZ;0;1.01.2000
2008;SISLI;TEMMUZ;0;1.01.2008
1998;SILE;OCAK;0;1.01.1998
1998;SILE;SUBAT;0;1.01.1998
2001;SILE;SUBAT;0;1.01.2001
1998;SILE;MART;0;1.01.1998
1998;SILE;NISAN;0;1.01.1998
1998;SILE;MAYIS;0;1.01.1998
2006;SILE;MAYIS;0;1.01.2006
1998;KAGITHANE;OCAK;0;1.01.1998
1999;KAGITHANE;OCAK;0;1.01.1999
2000;KAGITHANE;OCAK;0;1.01.2000
2001;KAGITHANE;OCAK;0;1.01.2001
2002;KAGITHANE;OCAK;0;1.01.2002
2003;KAGITHANE;OCAK;0;1.01.2003
2007;KAGITHANE;OCAK;0;1.01.2007
1998;KAGITHANE;SUBAT;0;1.01.1998
1999;KAGITHANE;SUBAT;0;1.01.1999
1998;KAGITHANE;MART;0;1.01.1998
1999;KAGITHANE;MART;0;1.01.1999
2000;KAGITHANE;MART;0;1.01.2000
2001;KAGITHANE;MART;0;1.01.2001
1998;KAGITHANE;NISAN;0;1.01.1998
1998;KAGITHANE;MAYIS;0;1.01.1998
2004;KAGITHANE;MAYIS;0;1.01.2004
2008;KAGITHANE;MAYIS;0;1.01.2008
2008;KAGITHANE;KASIM;0;1.01.2008
1999;KAGITHANE;ARALIK;0;1.01.1999
2000;KAGITHANE;ARALIK;0;1.01.2000
2006;KAGITHANE;ARALIK;0;1.01.2006
2007;KAGITHANE;ARALIK;0;1.01.2007
1998;KAGITHANE;OCAK;0;1.01.1998
1998;KAGITHANE;SUBAT;0;1.01.1998
2001;KAGITHANE;SUBAT;0;1.01.2001
1998;KAGITHANE;MART;0;1.01.1998
2001;KAGITHANE;MART;0;1.01.2001
1998;KAGITHANE;NISAN;0;1.01.1998
2002;KAGITHANE;NISAN;0;1.01.2002
2008;KAGITHANE;NISAN;0;1.01.2008
2011;KAGITHANE;NISAN;0;1.01.2011
2016;KAGITHANE;NISAN;0;1.01.2016
1998;KAGITHANE;MAYIS;0;1.01.1998
2003;KAGITHANE;MAYIS;0;1.01.2003
2006;KAGITHANE;MAYIS;0;1.01.2006
2008;KAGITHANE;MAYIS;0;1.01.2008
2009;KAGITHANE;MAYIS;0;1.01.2009
2011;KAGITHANE;MAYIS;0;1.01.2011
2005;KAGITHANE;HAZIRAN;0;1.01.2005
2006;KAGITHANE;HAZIRAN;0;1.01.2006
2007;KAGITHANE;HAZIRAN;0;1.01.2007
2008;KAGITHANE;HAZIRAN;0;1.01.2008
2009;KAGITHANE;HAZIRAN;0;1.01.2009
2006;KAGITHANE;TEMMUZ;0;1.01.2006
2008;KAGITHANE;TEMMUZ;0;1.01.2008
2009;KAGITHANE;TEMMUZ;0;1.01.2009
2011;KAGITHANE;TEMMUZ;0;1.01.2011
2013;KAGITHANE;TEMMUZ;0;1.01.2013
1998;KAGITHANE;OCAK;0;1.01.1998
1998;KAGITHANE;SUBAT;0;1.01.1998
1998;KAGITHANE;MART;0;1.01.1998
1998;KAGITHANE;NISAN;0;1.01.1998
1998;KAGITHANE;MAYIS;0;1.01.1998
1998;KAGITHANE;HAZIRAN;0;1.01.1998
2000;KAGITHANE;HAZIRAN;0;1.01.2000
1998;KAGITHANE;TEMMUZ;0;1.01.1998
1998;CEKMEKOY;OCAK;0;1.01.1998
2000;CEKMEKOY;OCAK;0;1.01.2000
2001;CEKMEKOY;OCAK;0;1.01.2001
1998;CEKMEKOY;SUBAT;0;1.01.1998
1998;CEKMEKOY;MART;0;1.01.1998
2001;CEKMEKOY;MART;0;1.01.2001
1998;CEKMEKOY;NISAN;0;1.01.1998
2000;CEKMEKOY;NISAN;0;1.01.2000
2001;CEKMEKOY;NISAN;0;1.01.2001
2006;CEKMEKOY;NISAN;0;1.01.2006
2007;CEKMEKOY;NISAN;0;1.01.2007
1998;CEKMEKOY;MAYIS;0;1.01.1998
1999;CEKMEKOY;ARALIK;0;1.01.1999
1998;ATASEHIR;OCAK;0;1.01.1998
1998;ATASEHIR;SUBAT;0;1.01.1998
1998;ATASEHIR;MART;0;1.01.1998
1998;ATASEHIR;NISAN;0;1.01.1998
2000;ATASEHIR;NISAN;0;1.01.2000
1998;ATASEHIR;MAYIS;0;1.01.1998
1999;ATASEHIR;MAYIS;0;1.01.1999
2002;ATASEHIR;MAYIS;0;1.01.2002
2003;ATASEHIR;MAYIS;0;1.01.2003
2006;ATASEHIR;MAYIS;0;1.01.2006
2007;ATASEHIR;MAYIS;0;1.01.2007
1998;ATASEHIR;HAZIRAN;0;1.01.1998
2000;ATASEHIR;HAZIRAN;0;1.01.2000
2002;ATASEHIR;HAZIRAN;0;1.01.2002
2003;ATASEHIR;HAZIRAN;0;1.01.2003
2006;ATASEHIR;HAZIRAN;0;1.01.2006
2008;ATASEHIR;HAZIRAN;0;1.01.2008
2010;ATASEHIR;HAZIRAN;0;1.01.2010
2000;ATASEHIR;TEMMUZ;0;1.01.2000
2003;ATASEHIR;TEMMUZ;0;1.01.2003
2006;ATASEHIR;TEMMUZ;0;1.01.2006
2008;ATASEHIR;TEMMUZ;0;1.01.2008
2016;ATASEHIR;TEMMUZ;0;1.01.2016
1998;ATASEHIR;AGUSTOS;0;1.01.1998
1998;KUCUKCEKMECE;OCAK;0;1.01.1998
1998;KUCUKCEKMECE;SUBAT;0;1.01.1998
2001;KUCUKCEKMECE;SUBAT;0;1.01.2001
1998;KUCUKCEKMECE;MART;0;1.01.1998
1998;KUCUKCEKMECE;NISAN;0;1.01.1998
1999;KUCUKCEKMECE;NISAN;0;1.01.1999
1998;KUCUKCEKMECE;MAYIS;0;1.01.1998
2000;KUCUKCEKMECE;MAYIS;0;1.01.2000
1999;KUCUKCEKMECE;HAZIRAN;0;1.01.1999
2002;KUCUKCEKMECE;HAZIRAN;0;1.01.2002
1998;KUCUKCEKMECE;TEMMUZ;0;1.01.1998
1998;KUCUKCEKMECE;AGUSTOS;0;1.01.1998
1998;ZEYTINBURNU;OCAK;0;1.01.1998
1998;ZEYTINBURNU;SUBAT;0;1.01.1998
1998;ZEYTINBURNU;MART;0;1.01.1998
1998;ZEYTINBURNU;NISAN;0;1.01.1998
1998;ZEYTINBURNU;MAYIS;0;1.01.1998
1998;GAZIOSMANPASA;OCAK;0;1.01.1998
1998;GAZIOSMANPASA;SUBAT;0;1.01.1998
1998;GAZIOSMANPASA;MART;0;1.01.1998
1998;GAZIOSMANPASA;NISAN;0;1.01.1998
2001;GAZIOSMANPASA;NISAN;0;1.01.2001
1998;GAZIOSMANPASA;MAYIS;0;1.01.1998
1999;GAZIOSMANPASA;MAYIS;0;1.01.1999
2000;GAZIOSMANPASA;MAYIS;0;1.01.2000
2002;GAZIOSMANPASA;MAYIS;0;1.01.2002
2005;GAZIOSMANPASA;MAYIS;0;1.01.2005
2006;GAZIOSMANPASA;MAYIS;0;1.01.2006
2007;GAZIOSMANPASA;MAYIS;0;1.01.2007
2008;GAZIOSMANPASA;MAYIS;0;1.01.2008
2009;GAZIOSMANPASA;MAYIS;0;1.01.2009
2010;GAZIOSMANPASA;MAYIS;0;1.01.2010
2011;GAZIOSMANPASA;MAYIS;0;1.01.2011
1998;GAZIOSMANPASA;HAZIRAN;0;1.01.1998
1999;GAZIOSMANPASA;HAZIRAN;0;1.01.1999
